checking_balance,months_loan_duration,credit_history,purpose_of_loan,amount,savings_balance_(ex real estate),employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credit_facilities,default(1=no),dependents,landline,foreign_worker,job
$1 - $1000,15,critical,business,2326,$501 - $1000,1 - 4 yrs,2,single male,none,4,other,27,bank,own,1,1,1,none,yes,skilled employee
unknown,9,repaid,business,1449,< $500,4 - 7 yrs,3,female,none,2,other,27,none,own,2,1,1,none,yes,skilled employee
unknown,18,repaid,new vehicle,1820,< $500,1 - 4 yrs,2,married male,none,2,building society savings,30,none,own,1,1,1,yes,yes,mangement self-employed
$1 - $1000,12,repaid,furniture,983,> $2000,0 - 1 yrs,1,female,none,4,real estate,19,none,rent,1,1,1,none,yes,unskilled resident
< $0,36,repaid,new vehicle,3249,< $500,4 - 7 yrs,2,single male,none,4,unknown,39,bank,for free,1,1,2,yes,yes,mangement self-employed
< $0,6,critical,electronics/home entertainment,1957,< $500,4 - 7 yrs,1,female,none,4,other,31,none,own,1,1,1,none,yes,skilled employee
unknown,9,critical,furniture,2406,< $500,unemployed,2,single male,none,3,other,31,none,own,1,1,1,none,yes,mangement self-employed
$1 - $1000,39,delayed,education,11760,$1001 - $2000,4 - 7 yrs,2,single male,none,3,unknown,32,none,rent,1,1,1,yes,yes,skilled employee
< $0,12,repaid,furniture,2578,< $500,unemployed,3,female,none,4,unknown,55,none,for free,1,1,1,none,yes,mangement self-employed
< $0,36,critical,furniture,2348,< $500,1 - 4 yrs,3,married male,none,2,building society savings,46,none,own,2,1,1,yes,yes,skilled employee
$1 - $1000,12,repaid,new vehicle,1223,< $500,> 7 yrs,1,divorced male,none,1,real estate,46,none,rent,2,2,1,none,yes,skilled employee
unknown,24,critical,electronics/home entertainment,1516,> $2000,1 - 4 yrs,4,female,none,1,real estate,43,none,own,2,1,1,none,yes,unskilled resident
unknown,18,repaid,electronics/home entertainment,1473,< $500,0 - 1 yrs,3,married male,none,4,real estate,39,none,own,1,1,1,yes,yes,skilled employee
$1 - $1000,18,critical,business,1887,unknown,1 - 4 yrs,4,married male,none,4,real estate,28,bank,own,2,1,1,none,yes,skilled employee
unknown,24,delayed,business,8648,< $500,0 - 1 yrs,2,single male,none,2,other,27,bank,own,2,2,1,yes,yes,skilled employee
unknown,14,delayed,new vehicle,802,< $500,1 - 4 yrs,4,single male,none,2,other,27,none,own,2,1,1,none,yes,unskilled resident
$1 - $1000,18,delayed,new vehicle,2899,unknown,> 7 yrs,4,single male,none,4,other,43,none,own,1,1,2,none,yes,skilled employee
$1 - $1000,24,repaid,electronics/home entertainment,2039,< $500,0 - 1 yrs,1,married male,none,1,building society savings,22,none,own,1,2,1,yes,yes,skilled employee
unknown,24,critical,used vehicle,2197,unknown,4 - 7 yrs,4,single male,none,4,other,43,none,own,2,1,2,yes,yes,skilled employee
< $0,15,repaid,electronics/home entertainment,1053,< $500,0 - 1 yrs,4,married male,none,2,real estate,27,none,own,1,1,1,none,no,skilled employee
unknown,24,repaid,electronics/home entertainment,3235,$501 - $1000,> 7 yrs,3,divorced male,none,2,other,26,none,own,1,1,1,yes,yes,mangement self-employed
> $1000,12,critical,new vehicle,939,$501 - $1000,4 - 7 yrs,4,married male,none,2,real estate,28,none,own,3,2,1,yes,yes,skilled employee
$1 - $1000,24,repaid,electronics/home entertainment,1967,< $500,> 7 yrs,4,female,none,4,other,20,none,own,1,1,1,yes,yes,skilled employee
unknown,33,critical,used vehicle,7253,< $500,4 - 7 yrs,3,single male,none,2,other,35,none,own,2,1,1,yes,yes,mangement self-employed
unknown,12,critical,business,2292,< $500,unemployed,4,single male,none,2,other,42,stores,own,2,2,1,yes,yes,mangement self-employed
unknown,10,repaid,new vehicle,1597,$501 - $1000,1 - 4 yrs,3,single male,none,2,unknown,40,none,rent,1,1,2,none,no,unskilled resident
< $0,24,repaid,new vehicle,1381,unknown,1 - 4 yrs,4,female,none,2,building society savings,35,none,own,1,2,1,none,yes,skilled employee
unknown,36,critical,used vehicle,5842,< $500,> 7 yrs,2,single male,none,2,building society savings,35,none,own,2,1,2,yes,yes,skilled employee
< $0,12,repaid,new vehicle,2579,< $500,0 - 1 yrs,4,single male,none,1,real estate,33,none,own,1,2,2,none,yes,unskilled resident
< $0,18,delayed,education,8471,unknown,1 - 4 yrs,1,female,none,2,other,23,none,rent,2,1,1,yes,yes,skilled employee
unknown,21,repaid,new vehicle,2782,$501 - $1000,4 - 7 yrs,1,female,none,2,other,31,bank,own,1,1,1,none,yes,mangement self-employed
$1 - $1000,18,repaid,new vehicle,1042,unknown,1 - 4 yrs,4,female,none,2,building society savings,33,none,own,1,2,1,none,yes,skilled employee
unknown,15,repaid,new vehicle,3186,> $2000,4 - 7 yrs,2,female,none,3,other,20,none,rent,1,1,1,none,yes,skilled employee
$1 - $1000,12,repaid,used vehicle,2028,unknown,1 - 4 yrs,4,single male,none,2,other,30,none,own,1,1,1,none,yes,skilled employee
$1 - $1000,12,critical,new vehicle,958,< $500,4 - 7 yrs,2,single male,none,3,real estate,47,none,own,2,1,2,none,yes,unskilled resident
unknown,21,delayed,furniture,1591,$1001 - $2000,4 - 7 yrs,4,single male,none,3,real estate,34,none,own,2,1,1,none,yes,mangement self-employed
$1 - $1000,12,repaid,furniture,2762,unknown,> 7 yrs,1,female,none,2,building society savings,25,bank,own,1,2,1,yes,yes,skilled employee
$1 - $1000,18,repaid,used vehicle,2779,< $500,1 - 4 yrs,1,married male,none,3,other,21,none,rent,1,1,1,yes,yes,skilled employee
unknown,28,critical,electronics/home entertainment,2743,< $500,> 7 yrs,4,single male,none,2,other,29,none,own,2,1,1,none,yes,skilled employee
unknown,18,critical,electronics/home entertainment,1149,> $2000,1 - 4 yrs,4,single male,none,3,real estate,46,none,own,2,1,1,none,yes,skilled employee
unknown,9,repaid,furniture,1313,< $500,> 7 yrs,1,single male,none,4,other,20,none,own,1,1,1,none,yes,skilled employee
< $0,18,critical,repairs,1190,< $500,unemployed,2,female,none,4,unknown,55,none,for free,3,2,2,none,yes,unemployed non-resident
unknown,5,repaid,business,3448,< $500,4 - 7 yrs,1,single male,none,4,real estate,74,none,own,1,1,1,none,yes,unskilled resident
$1 - $1000,24,repaid,others,11328,< $500,1 - 4 yrs,2,single male,co-applicant,3,other,29,bank,own,2,2,1,yes,yes,mangement self-employed
< $0,6,critical,furniture,1872,< $500,unemployed,4,single male,none,4,unknown,36,none,for free,3,1,1,yes,yes,mangement self-employed
unknown,24,critical,repairs,2058,< $500,1 - 4 yrs,4,divorced male,none,2,real estate,33,none,own,2,1,1,yes,yes,skilled employee
< $0,9,repaid,furniture,2136,< $500,1 - 4 yrs,3,single male,none,2,real estate,25,none,own,1,1,1,none,yes,skilled employee
$1 - $1000,12,repaid,electronics/home entertainment,1484,unknown,1 - 4 yrs,2,married male,none,1,real estate,25,none,own,1,2,1,yes,yes,skilled employee
unknown,6,repaid,repairs,660,$501 - $1000,4 - 7 yrs,2,married male,none,4,real estate,23,none,rent,1,1,1,none,yes,unskilled resident
unknown,24,critical,new vehicle,1287,> $2000,> 7 yrs,4,female,none,4,real estate,37,none,own,2,1,1,yes,yes,skilled employee
< $0,42,critical,repairs,3394,< $500,unemployed,4,single male,co-applicant,4,other,65,none,own,2,1,1,none,yes,unemployed non-resident
> $1000,12,fully repaid this bank,business,609,< $500,0 - 1 yrs,4,female,none,1,real estate,26,none,own,1,2,1,none,yes,unemployed non-resident
unknown,12,repaid,new vehicle,1884,< $500,> 7 yrs,4,single male,none,4,other,39,none,own,1,1,1,yes,yes,mangement self-employed
< $0,12,repaid,furniture,1620,< $500,1 - 4 yrs,2,female,co-applicant,3,building society savings,30,none,own,1,1,1,none,yes,skilled employee
$1 - $1000,20,delayed,others,2629,< $500,1 - 4 yrs,2,single male,none,3,other,29,bank,own,2,1,1,yes,yes,skilled employee
unknown,12,repaid,education,719,< $500,> 7 yrs,4,single male,none,4,other,41,bank,own,1,2,2,none,yes,unskilled resident
$1 - $1000,48,critical,furniture,5096,< $500,1 - 4 yrs,2,female,none,3,other,30,none,own,1,2,1,yes,yes,mangement self-employed
unknown,9,critical,education,1244,unknown,> 7 yrs,4,female,none,4,building society savings,41,none,rent,2,1,1,none,yes,unskilled resident
< $0,36,repaid,new vehicle,1842,< $500,0 - 1 yrs,4,female,none,4,other,34,none,own,1,2,1,yes,yes,skilled employee
$1 - $1000,7,repaid,electronics/home entertainment,2576,< $500,1 - 4 yrs,2,single male,guarantor,2,real estate,35,none,own,1,1,1,none,yes,skilled employee
> $1000,12,repaid,furniture,1424,unknown,> 7 yrs,3,female,none,4,real estate,55,none,own,1,1,1,yes,yes,mangement self-employed
$1 - $1000,15,delayed,repairs,1512,> $2000,1 - 4 yrs,3,married male,none,3,building society savings,61,stores,own,2,2,1,none,yes,skilled employee
unknown,36,critical,used vehicle,11054,unknown,1 - 4 yrs,4,single male,none,2,other,30,none,own,1,1,1,yes,yes,mangement self-employed
unknown,6,repaid,electronics/home entertainment,518,< $500,1 - 4 yrs,3,female,none,1,real estate,29,none,own,1,1,1,none,yes,skilled employee
unknown,12,fully repaid,furniture,2759,< $500,> 7 yrs,2,single male,none,4,building society savings,34,none,own,2,1,1,none,yes,skilled employee
unknown,24,repaid,used vehicle,2670,< $500,> 7 yrs,4,single male,none,4,other,35,none,own,1,1,1,yes,yes,mangement self-employed
< $0,24,repaid,new vehicle,4817,< $500,4 - 7 yrs,2,single male,co-applicant,3,building society savings,31,none,own,1,2,1,yes,yes,skilled employee
unknown,24,repaid,used vehicle,2679,< $500,0 - 1 yrs,4,female,none,1,unknown,29,none,own,1,1,1,yes,yes,mangement self-employed
< $0,11,critical,new vehicle,3905,< $500,1 - 4 yrs,2,single male,none,2,real estate,36,none,rent,2,1,2,none,yes,skilled employee
< $0,12,repaid,used vehicle,3386,< $500,> 7 yrs,3,single male,none,4,unknown,35,none,for free,1,2,1,yes,yes,skilled employee
< $0,6,repaid,domestic appliances,343,< $500,0 - 1 yrs,4,female,none,1,real estate,27,none,own,1,1,1,none,yes,skilled employee
unknown,18,repaid,electronics/home entertainment,4594,< $500,0 - 1 yrs,3,single male,none,2,other,32,none,own,1,1,1,yes,yes,skilled employee
< $0,36,repaid,furniture,3620,< $500,1 - 4 yrs,1,single male,guarantor,2,building society savings,37,none,own,1,1,2,none,yes,skilled employee
< $0,15,repaid,new vehicle,1721,< $500,0 - 1 yrs,2,single male,none,3,real estate,36,none,own,1,1,1,none,yes,skilled employee
$1 - $1000,12,repaid,furniture,3017,< $500,0 - 1 yrs,3,female,none,1,real estate,34,none,rent,1,1,1,none,yes,mangement self-employed
$1 - $1000,12,repaid,retraining,754,unknown,> 7 yrs,4,single male,none,4,building society savings,38,none,own,2,1,1,none,yes,skilled employee
unknown,18,repaid,business,1950,< $500,4 - 7 yrs,4,single male,none,1,other,34,stores,own,2,1,1,yes,yes,skilled employee
< $0,24,repaid,used vehicle,2924,< $500,1 - 4 yrs,3,single male,guarantor,4,unknown,63,bank,own,1,1,2,yes,yes,skilled employee
< $0,24,delayed,electronics/home entertainment,1659,< $500,0 - 1 yrs,4,female,none,2,other,29,none,rent,1,2,1,yes,yes,unskilled resident
unknown,48,delayed,electronics/home entertainment,7238,unknown,> 7 yrs,3,single male,none,3,other,32,bank,own,2,1,2,none,yes,skilled employee
unknown,33,delayed,business,2764,< $500,1 - 4 yrs,2,female,none,2,other,26,none,own,2,1,1,yes,yes,skilled employee
unknown,24,delayed,used vehicle,4679,< $500,4 - 7 yrs,3,single male,none,3,other,35,none,own,2,1,1,yes,yes,unskilled resident
$1 - $1000,24,repaid,electronics/home entertainment,3092,$1001 - $2000,0 - 1 yrs,3,married male,none,2,other,22,none,rent,1,2,1,yes,yes,skilled employee
< $0,6,repaid,education,448,< $500,0 - 1 yrs,4,female,none,4,building society savings,23,none,own,1,2,1,none,yes,skilled employee
< $0,9,repaid,new vehicle,654,< $500,1 - 4 yrs,4,single male,none,3,other,28,none,own,1,2,1,none,yes,unskilled resident
unknown,6,repaid,retraining,1238,unknown,unemployed,4,single male,none,4,building society savings,36,none,own,1,1,2,yes,yes,mangement self-employed
$1 - $1000,18,critical,electronics/home entertainment,1245,< $500,1 - 4 yrs,4,married male,none,2,other,33,none,own,1,2,1,none,yes,skilled employee
< $0,18,fully repaid,furniture,3114,< $500,0 - 1 yrs,1,female,none,4,building society savings,26,none,rent,1,2,1,none,yes,skilled employee
unknown,39,repaid,used vehicle,2569,$501 - $1000,1 - 4 yrs,4,single male,none,4,other,24,none,own,1,1,1,none,yes,skilled employee
> $1000,24,repaid,electronics/home entertainment,5152,< $500,4 - 7 yrs,4,single male,none,2,other,25,bank,own,1,1,1,none,yes,skilled employee
$1 - $1000,12,repaid,business,1037,$1001 - $2000,4 - 7 yrs,3,single male,none,4,real estate,39,none,own,1,1,1,none,yes,unskilled resident
< $0,15,critical,furniture,1478,< $500,> 7 yrs,4,single male,none,4,other,44,none,own,2,1,2,yes,yes,skilled employee
$1 - $1000,12,critical,electronics/home entertainment,3573,< $500,1 - 4 yrs,1,female,none,1,real estate,23,none,own,1,1,1,none,yes,unskilled resident
$1 - $1000,24,repaid,new vehicle,1201,< $500,0 - 1 yrs,4,single male,none,1,building society savings,26,none,own,1,1,1,none,yes,skilled employee
< $0,30,repaid,furniture,3622,> $2000,> 7 yrs,4,female,none,4,building society savings,57,none,rent,2,1,1,yes,yes,skilled employee
unknown,15,delayed,furniture,960,> $2000,4 - 7 yrs,3,female,none,2,building society savings,30,none,own,2,1,1,none,yes,skilled employee
unknown,12,critical,new vehicle,1163,$501 - $1000,1 - 4 yrs,4,single male,none,4,real estate,44,none,own,1,1,1,yes,yes,skilled employee
$1 - $1000,6,delayed,new vehicle,1209,< $500,unemployed,4,single male,none,4,building society savings,47,none,own,1,2,1,yes,yes,mangement self-employed
unknown,12,repaid,electronics/home entertainment,3077,< $500,1 - 4 yrs,2,single male,none,4,other,52,none,own,1,1,1,yes,yes,skilled employee
unknown,24,repaid,new vehicle,3757,< $500,> 7 yrs,4,female,co-applicant,4,unknown,62,none,for free,1,1,1,yes,yes,skilled employee
unknown,10,repaid,new vehicle,1418,$1001 - $2000,1 - 4 yrs,3,single male,none,2,real estate,35,none,rent,1,1,1,none,no,unskilled resident
unknown,6,repaid,new vehicle,3518,< $500,1 - 4 yrs,2,single male,guarantor,3,building society savings,26,none,rent,1,1,1,none,yes,skilled employee
unknown,12,critical,electronics/home entertainment,1934,< $500,> 7 yrs,2,single male,none,2,unknown,26,none,own,2,1,1,none,yes,skilled employee
$1 - $1000,27,fully repaid,business,8318,< $500,> 7 yrs,2,female,none,4,unknown,42,none,for free,2,2,1,yes,yes,mangement self-employed
unknown,6,critical,electronics/home entertainment,1237,$1001 - $2000,1 - 4 yrs,1,female,none,1,building society savings,27,none,own,2,1,1,none,yes,skilled employee
$1 - $1000,6,repaid,electronics/home entertainment,368,unknown,> 7 yrs,4,single male,none,4,building society savings,38,none,own,1,1,1,none,yes,skilled employee
< $0,12,critical,new vehicle,2122,< $500,1 - 4 yrs,3,single male,none,2,real estate,39,none,rent,2,1,2,none,no,unskilled resident
< $0,24,repaid,furniture,2996,unknown,1 - 4 yrs,2,married male,none,4,other,20,none,own,1,2,1,none,yes,skilled employee
$1 - $1000,36,repaid,furniture,9034,$1001 - $2000,0 - 1 yrs,4,single male,co-applicant,1,unknown,29,none,rent,1,2,1,yes,yes,mangement self-employed
unknown,24,critical,furniture,1585,< $500,4 - 7 yrs,4,single male,none,3,building society savings,40,none,own,2,1,1,none,yes,skilled employee
$1 - $1000,18,repaid,electronics/home entertainment,1301,< $500,> 7 yrs,4,married male,guarantor,2,real estate,32,none,own,1,1,1,none,yes,unskilled resident
> $1000,6,critical,new vehicle,1323,$1001 - $2000,> 7 yrs,2,divorced male,none,4,other,28,none,own,2,1,2,yes,yes,skilled employee
< $0,24,repaid,new vehicle,3123,< $500,0 - 1 yrs,4,female,none,1,building society savings,27,none,own,1,2,1,none,yes,skilled employee
< $0,36,repaid,used vehicle,5493,< $500,> 7 yrs,2,single male,none,4,unknown,42,none,for free,1,1,2,none,yes,skilled employee
> $1000,9,repaid,electronics/home entertainment,1126,$1001 - $2000,> 7 yrs,2,divorced male,none,4,real estate,49,none,own,1,1,1,none,yes,skilled employee
$1 - $1000,24,critical,electronics/home entertainment,1216,$1001 - $2000,0 - 1 yrs,4,single male,none,4,unknown,38,bank,own,2,2,2,none,yes,skilled employee
< $0,24,repaid,new vehicle,1207,< $500,0 - 1 yrs,4,female,none,4,building society savings,24,none,rent,1,2,1,none,yes,skilled employee
unknown,10,repaid,new vehicle,1309,unknown,1 - 4 yrs,4,single male,guarantor,4,building society savings,27,none,own,1,2,1,none,yes,unskilled resident
> $1000,15,critical,used vehicle,2360,$501 - $1000,1 - 4 yrs,2,single male,none,2,other,36,none,own,1,1,1,yes,yes,skilled employee
$1 - $1000,15,fully repaid this bank,new vehicle,6850,$1001 - $2000,unemployed,1,single male,none,2,building society savings,34,none,own,1,2,2,yes,yes,mangement self-employed
unknown,24,repaid,electronics/home entertainment,1413,< $500,1 - 4 yrs,4,married male,none,2,building society savings,28,none,own,1,1,1,none,yes,skilled employee
unknown,39,repaid,used vehicle,8588,$1001 - $2000,> 7 yrs,4,single male,none,2,other,45,none,own,1,1,1,yes,yes,mangement self-employed
< $0,12,repaid,new vehicle,759,< $500,4 - 7 yrs,4,single male,none,2,real estate,26,none,own,1,2,1,none,yes,skilled employee
unknown,36,repaid,used vehicle,4686,< $500,1 - 4 yrs,2,single male,none,2,unknown,32,none,for free,1,1,1,yes,yes,mangement self-employed
> $1000,15,repaid,business,2687,< $500,4 - 7 yrs,2,single male,none,4,building society savings,26,none,rent,1,1,1,yes,yes,skilled employee
$1 - $1000,12,delayed,electronics/home entertainment,585,< $500,1 - 4 yrs,4,married male,co-applicant,4,real estate,20,none,rent,2,1,1,none,yes,skilled employee
unknown,24,repaid,new vehicle,2255,unknown,0 - 1 yrs,4,single male,none,1,building society savings,54,none,own,1,1,1,none,yes,skilled employee
< $0,6,critical,new vehicle,609,< $500,4 - 7 yrs,4,female,none,3,building society savings,37,none,own,2,1,1,none,no,skilled employee
< $0,6,critical,new vehicle,1361,< $500,0 - 1 yrs,2,single male,none,4,real estate,40,none,own,1,1,2,none,no,unskilled resident
unknown,36,critical,furniture,7127,< $500,0 - 1 yrs,2,female,none,4,building society savings,23,none,rent,2,2,1,yes,yes,skilled employee
< $0,6,repaid,new vehicle,1203,$1001 - $2000,> 7 yrs,3,single male,none,2,building society savings,43,none,own,1,1,1,yes,yes,skilled employee
unknown,6,critical,electronics/home entertainment,700,unknown,> 7 yrs,4,single male,none,4,unknown,36,none,for free,2,1,1,none,yes,skilled employee
unknown,24,critical,repairs,5507,< $500,> 7 yrs,3,single male,none,4,unknown,44,none,for free,2,1,1,none,yes,skilled employee
< $0,18,repaid,electronics/home entertainment,3190,< $500,1 - 4 yrs,2,female,none,2,real estate,24,none,own,1,2,1,none,yes,skilled employee
< $0,48,fully repaid,furniture,7119,< $500,1 - 4 yrs,3,single male,none,4,unknown,53,none,for free,2,2,2,none,yes,skilled employee
unknown,24,repaid,used vehicle,3488,$1001 - $2000,4 - 7 yrs,3,female,none,4,other,23,none,own,1,1,1,none,yes,skilled employee
$1 - $1000,18,repaid,electronics/home entertainment,1113,< $500,1 - 4 yrs,4,female,guarantor,4,real estate,26,none,own,1,1,2,none,yes,unskilled resident
$1 - $1000,26,repaid,used vehicle,7966,< $500,0 - 1 yrs,2,single male,none,3,other,30,none,own,2,1,1,none,yes,skilled employee
unknown,15,critical,education,1532,$1001 - $2000,1 - 4 yrs,4,female,none,3,other,31,none,own,1,1,1,none,yes,skilled employee
unknown,4,critical,electronics/home entertainment,1503,< $500,4 - 7 yrs,2,single male,none,1,real estate,42,none,own,2,1,2,none,yes,unskilled resident
< $0,36,repaid,electronics/home entertainment,2302,< $500,1 - 4 yrs,4,divorced male,none,4,other,31,none,rent,1,2,1,none,yes,skilled employee
< $0,6,repaid,new vehicle,662,< $500,0 - 1 yrs,3,single male,none,4,real estate,41,none,own,1,1,2,yes,yes,unskilled resident
$1 - $1000,36,repaid,education,2273,< $500,4 - 7 yrs,3,single male,none,1,other,32,none,own,2,1,2,none,yes,skilled employee
$1 - $1000,15,repaid,new vehicle,2631,$1001 - $2000,1 - 4 yrs,2,female,none,4,other,28,none,rent,2,2,1,yes,yes,skilled employee
unknown,12,delayed,used vehicle,1503,< $500,1 - 4 yrs,4,married male,none,4,real estate,41,none,rent,1,1,1,none,yes,skilled employee
unknown,24,repaid,electronics/home entertainment,1311,$1001 - $2000,4 - 7 yrs,4,married male,none,3,building society savings,26,none,own,1,1,1,yes,yes,skilled employee
unknown,24,repaid,electronics/home entertainment,3105,unknown,0 - 1 yrs,4,single male,none,2,other,25,none,own,2,1,1,none,yes,skilled employee
> $1000,21,critical,education,2319,< $500,0 - 1 yrs,2,divorced male,none,1,other,33,none,rent,1,2,1,none,yes,skilled employee
< $0,6,repaid,new vehicle,1374,unknown,unemployed,4,female,none,3,building society savings,75,none,own,1,1,1,yes,yes,mangement self-employed
$1 - $1000,18,critical,furniture,3612,< $500,> 7 yrs,3,female,none,4,building society savings,37,none,own,1,1,1,yes,yes,skilled employee
< $0,48,repaid,new vehicle,7763,< $500,> 7 yrs,4,single male,none,4,unknown,42,bank,for free,1,2,1,none,yes,mangement self-employed
> $1000,18,repaid,furniture,3049,< $500,0 - 1 yrs,1,female,none,1,building society savings,45,stores,own,1,1,1,none,yes,unskilled resident
$1 - $1000,12,repaid,electronics/home entertainment,1534,< $500,0 - 1 yrs,1,married male,none,1,real estate,23,none,rent,1,2,1,none,yes,skilled employee
unknown,24,delayed,new vehicle,2032,< $500,> 7 yrs,4,single male,none,4,unknown,60,none,for free,2,1,1,yes,yes,skilled employee
< $0,30,repaid,furniture,6350,unknown,> 7 yrs,4,single male,none,4,building society savings,31,none,own,1,2,1,none,yes,skilled employee
> $1000,18,repaid,furniture,2864,< $500,1 - 4 yrs,2,single male,none,1,real estate,34,none,own,1,2,2,none,yes,unskilled resident
unknown,12,critical,new vehicle,1255,< $500,> 7 yrs,4,single male,none,4,real estate,61,none,own,2,1,1,none,yes,unskilled resident
< $0,24,delayed,new vehicle,1333,< $500,unemployed,4,single male,none,2,real estate,43,none,for free,2,2,2,none,yes,skilled employee
unknown,24,critical,new vehicle,2022,< $500,1 - 4 yrs,4,female,none,4,other,37,none,own,1,1,1,yes,yes,skilled employee
unknown,24,repaid,electronics/home entertainment,1552,< $500,4 - 7 yrs,3,single male,none,1,other,32,bank,own,1,1,2,none,yes,skilled employee
< $0,12,fully repaid this bank,electronics/home entertainment,626,< $500,1 - 4 yrs,4,female,none,4,real estate,24,bank,own,1,2,1,none,yes,unskilled resident
unknown,48,critical,used vehicle,8858,unknown,4 - 7 yrs,2,single male,none,1,unknown,35,none,for free,2,1,1,yes,yes,skilled employee
unknown,12,critical,repairs,996,unknown,4 - 7 yrs,4,female,none,4,real estate,23,none,own,2,1,1,none,yes,skilled employee
unknown,6,fully repaid this bank,electronics/home entertainment,1750,$501 - $1000,> 7 yrs,2,single male,none,4,building society savings,45,bank,own,1,1,2,none,yes,unskilled resident
< $0,48,repaid,electronics/home entertainment,6999,< $500,4 - 7 yrs,1,married male,guarantor,1,real estate,34,none,own,2,2,1,yes,yes,skilled employee
$1 - $1000,12,critical,new vehicle,1995,$1001 - $2000,0 - 1 yrs,4,single male,none,1,other,27,none,own,1,1,1,none,yes,skilled employee
$1 - $1000,9,repaid,education,1199,< $500,4 - 7 yrs,4,female,none,4,building society savings,67,none,own,2,1,1,yes,yes,mangement self-employed
$1 - $1000,12,repaid,electronics/home entertainment,1331,< $500,0 - 1 yrs,2,single male,none,1,other,22,stores,own,1,2,1,none,yes,skilled employee
$1 - $1000,18,fully repaid,new vehicle,2278,$1001 - $2000,0 - 1 yrs,3,female,none,3,other,28,none,own,2,2,1,none,yes,skilled employee
unknown,21,fully repaid,new vehicle,5003,unknown,1 - 4 yrs,1,female,none,4,building society savings,29,bank,own,2,2,1,yes,yes,skilled employee
< $0,24,fully repaid this bank,furniture,3552,< $500,4 - 7 yrs,3,single male,none,4,other,27,bank,own,1,2,1,none,yes,skilled employee
$1 - $1000,18,critical,furniture,1928,< $500,0 - 1 yrs,2,single male,none,2,real estate,31,none,own,2,2,1,none,yes,unskilled resident
< $0,24,repaid,used vehicle,2964,unknown,> 7 yrs,4,single male,none,4,unknown,49,bank,for free,1,1,2,yes,yes,skilled employee
< $0,24,fully repaid this bank,electronics/home entertainment,1546,< $500,4 - 7 yrs,4,single male,guarantor,4,other,24,bank,rent,1,2,1,none,yes,unskilled resident
> $1000,6,delayed,electronics/home entertainment,683,< $500,0 - 1 yrs,2,female,none,1,building society savings,29,bank,own,1,1,1,none,yes,skilled employee
$1 - $1000,36,repaid,new vehicle,12389,unknown,1 - 4 yrs,1,single male,none,4,unknown,37,none,for free,1,2,1,yes,yes,skilled employee
$1 - $1000,24,delayed,business,4712,unknown,1 - 4 yrs,4,single male,none,2,building society savings,37,bank,own,2,1,1,yes,yes,mangement self-employed
$1 - $1000,24,delayed,electronics/home entertainment,1553,$1001 - $2000,4 - 7 yrs,3,female,none,2,building society savings,23,none,rent,2,1,1,yes,yes,skilled employee
< $0,12,repaid,new vehicle,1372,< $500,4 - 7 yrs,2,divorced male,none,3,other,36,none,own,1,2,1,none,yes,skilled employee
unknown,24,critical,electronics/home entertainment,2578,> $2000,> 7 yrs,2,single male,none,2,other,34,none,own,1,1,1,none,yes,skilled employee
$1 - $1000,48,repaid,electronics/home entertainment,3979,unknown,4 - 7 yrs,4,single male,none,1,other,41,none,own,2,1,2,yes,yes,skilled employee
< $0,48,repaid,electronics/home entertainment,6758,< $500,1 - 4 yrs,3,female,none,2,other,31,none,own,1,2,1,yes,yes,skilled employee
< $0,24,repaid,furniture,3234,< $500,0 - 1 yrs,4,female,none,4,real estate,23,none,rent,1,2,1,yes,yes,unskilled resident
unknown,30,critical,electronics/home entertainment,5954,< $500,4 - 7 yrs,3,single male,co-applicant,2,other,38,none,own,1,1,1,none,yes,skilled employee
unknown,24,repaid,used vehicle,5433,unknown,unemployed,2,female,none,4,building society savings,26,none,rent,1,1,1,yes,yes,mangement self-employed
< $0,15,repaid,business,806,< $500,1 - 4 yrs,4,female,none,4,building society savings,22,none,own,1,1,1,none,yes,unskilled resident
$1 - $1000,9,repaid,electronics/home entertainment,1082,< $500,> 7 yrs,4,single male,none,4,other,27,none,own,2,1,1,none,yes,unskilled resident
unknown,15,critical,furniture,2788,< $500,4 - 7 yrs,2,female,co-applicant,3,other,24,bank,own,2,1,1,none,yes,skilled employee
$1 - $1000,12,repaid,electronics/home entertainment,2930,< $500,4 - 7 yrs,2,female,none,1,real estate,27,none,own,1,1,1,none,yes,skilled employee
unknown,24,critical,education,1927,unknown,1 - 4 yrs,3,female,none,2,other,33,none,own,2,1,1,yes,yes,skilled employee
$1 - $1000,36,critical,new vehicle,2820,< $500,0 - 1 yrs,4,divorced male,none,4,other,27,none,own,2,2,1,none,yes,skilled employee
unknown,24,repaid,retraining,937,< $500,0 - 1 yrs,4,married male,none,3,other,27,none,own,2,1,1,none,yes,unskilled resident
$1 - $1000,18,critical,new vehicle,1056,< $500,> 7 yrs,3,single male,guarantor,3,real estate,30,bank,own,2,2,1,none,yes,skilled employee
$1 - $1000,12,critical,new vehicle,3124,< $500,0 - 1 yrs,1,single male,none,3,real estate,49,bank,own,2,1,2,none,yes,unskilled resident
unknown,9,repaid,furniture,1388,< $500,1 - 4 yrs,4,female,none,2,real estate,26,none,rent,1,1,1,none,yes,skilled employee
